,id,data_type,status,created_at,official,official_updated_at,external_ids,provider,feed_name,note,feed_contact_email,redirects,entity_types,feed_references,locations,source_info.producer_url,source_info.authentication_type,source_info.authentication_info_url,source_info.api_key_parameter_name,source_info.license_url
1,mdb-1581,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1581', 'source': 'mdb'}]",Gunnison Valley Transportation Authority (RTA),,,,[],['vp'],['mdb-163'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Colorado', 'municipality': 'Gunnison County'}]",https://api.goswift.ly/real-time/gunnison/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
3,mdb-1753,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1753', 'source': 'mdb'}]",Tri-Valley Transit,,,,[],['vp'],['mdb-852'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': None}]",https://api.goswift.ly/real-time/trivalleytransit/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
4,mdb-1333,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1333', 'source': 'mdb'}]",Exo,Exo Trains,,,[],['vp'],['mdb-748'],"[{'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Basile-le-Grand'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'McMasterville'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Mont-Saint-Hilaire'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Constant'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Delson'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Candiac'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Repentigny'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Terrebonne'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Mascouche'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Montreal'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Dorval'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Pointe-Claire'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Beaconsfield'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': ""Baie-D'Urfé""}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Sainte-Anne-de-Bellevue'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': ""L'Île-Perrot""}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Terrasse-Vaudreuil'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Vaudreuil-Dorion'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Hudson'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Laval'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Rosemère'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Sainte-Thérèse'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Blainville'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Mirabel'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Jérôme'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Longueuil'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Bruno-de-Montarville'}]",https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb,1,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,token,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
6,mdb-1465,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1465', 'source': 'mdb'}]",GoDurham,,,,[],['vp'],['mdb-377'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'North Carolina', 'municipality': None}]",https://api.goswift.ly/real-time/godurham/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
7,mdb-1728,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1728', 'source': 'mdb'}]",Avalon Transit,,,,[],['vp'],['mdb-12'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Avalon'}]",https://api.goswift.ly/real-time/avalon/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
19,mdb-1454,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1454', 'source': 'mdb'}]",City of Corvallis,,,,[],['vp'],['mdb-136'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Oregon', 'municipality': None}]",https://api.goswift.ly/real-time/ocwcog-corvallis/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
22,mdb-1470,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1470', 'source': 'mdb'}]",ABQ RIDE,,,,[],['vp'],['mdb-166'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'New Mexico', 'municipality': 'Bernalillo County'}]",https://api.goswift.ly/real-time/abq-ride/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
23,mdb-1442,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1442', 'source': 'mdb'}]",Suburban Mobility Authority for Regional Transit (SMART),,,,[],['vp'],['mdb-414'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Michigan', 'municipality': None}]",https://api.goswift.ly/real-time/detroit-smartbus/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
25,mdb-1673,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1673', 'source': 'mdb'}]",Capital Transit,,,,[],['vp'],['mdb-294'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Alaska', 'municipality': 'Juneau'}]",https://api.goswift.ly/real-time/juneau/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
29,mdb-1976,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1976', 'source': 'mdb'}]",Tri Delta Transit,,,,[],['vp'],['mdb-1974'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Concord'}]",https://api.511.org/transit/vehiclepositions?agency=3D,1,https://511.org/open-data/token,api_key,https://511.org/sites/default/files/pdfs/511_Data_Agreement_Final.pdf
35,mdb-1725,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1725', 'source': 'mdb'}]",DC Streetcar,,,,[],['vp'],['mdb-487'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'District of Columbia', 'municipality': 'Washington'}]",https://api.goswift.ly/real-time/dc-streetcar/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
38,mdb-1571,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1571', 'source': 'mdb'}]",Qline Detroit,,,,[],['vp'],['mdb-802'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Michigan', 'municipality': 'Detroit'}]",https://api.goswift.ly/real-time/detroit-m1-rail/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
39,mdb-1737,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1737', 'source': 'mdb'}]",Charleston Area Regional Transportation Authority,,,,[],['vp'],['mdb-352'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'South Carolina', 'municipality': 'Charleston County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'South Carolina', 'municipality': 'Berkeley County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'South Carolina', 'municipality': 'Dorchester County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'South Carolina', 'municipality': 'Williamsburg County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'South Carolina', 'municipality': 'Orangeburg County'}]",https://api.goswift.ly/real-time/bcdcog/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
40,mdb-1746,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1746', 'source': 'mdb'}]",Washington Park Shuttle,,,,[],['vp'],['mdb-254'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Oregon', 'municipality': 'Portland'}]",https://api.goswift.ly/real-time/washington-park/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
43,mdb-1717,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1717', 'source': 'mdb'}]",Turlock Transit,,,,[],['vp'],['mdb-619'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Stanislaus County'}]",https://api.goswift.ly/real-time/turlock/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
45,mdb-1371,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1371', 'source': 'mdb'}]",Exo Le Richelain,,,,[],['vp'],['mdb-746'],"[{'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': None}]",https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?agency=CITLR,1,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,token,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
46,mdb-1518,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1518', 'source': 'mdb'}]",TheBus,,,,[],['vp'],['mdb-10'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Hawaii', 'municipality': None}]",https://api.goswift.ly/real-time/thebus/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
49,mdb-1705,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1705', 'source': 'mdb'}]",TransLink Vancouver,,,,[],['vp'],['mdb-696'],"[{'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'British Columbia', 'municipality': None}]",https://gtfs.translink.ca/v2/gtfsposition,1,https://www.translink.ca/about-us/doing-business-with-translink/app-developer-resources/register,apikey,https://developer.translink.ca/Home/TermsOfUse
50,mdb-1510,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1510', 'source': 'mdb'}]",The Current,,,,[],['vp'],['mdb-428'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': None}]",https://api.goswift.ly/real-time/thecurrent/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
53,mdb-1668,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1668', 'source': 'mdb'}]",Regional Transportation Commission of Southern Nevada (RTC),,,,[],['vp'],['mdb-110'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Nevada', 'municipality': None}]",https://api.goswift.ly/real-time/las-vegas-rtc/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
56,mdb-1904,gtfs_rt,deprecated,2024-02-08T00:00:00Z,,,"[{'external_id': '1904', 'source': 'mdb'}]",Pražská integrovaná doprava,,,,"[{'target_id': 'mdb-2391', 'comment': ''}]",['vp'],['mdb-767'],"[{'country_code': 'CZ', 'country': 'Czechia', 'subdivision_name': None, 'municipality': None}]",https://api.golemio.cz/v2/vehiclepositions/gtfsrt/vehicle_positions.pb,1,https://api.golemio.cz/api-keys,X-Access-Token,https://pid.cz/o-systemu/opendata/
65,mdb-1353,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1353', 'source': 'mdb'}]",Exo La Presqu'île,,,,[],['vp'],['mdb-743'],"[{'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Vaudreuil-Dorion'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Pincourt'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Terrasse-Vaudreuil'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Hudson'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': ""L'Île-Perrot""}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': ""Notre-Dame-de-l'Île-Perrot""}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Pointe-Claire'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Rigaud'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Sainte-Anne-de-Bellevue'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Montreal'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Lazare'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Dollard-Des-Ormeaux'}]",https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?agency=CITPI,1,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,token,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
68,mdb-1764,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1764', 'source': 'mdb'}]",Asheville Rides Transit,,,,[],['vp'],['mdb-903'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'North Carolina', 'municipality': 'Buncombe County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'North Carolina', 'municipality': 'Henderson County'}]",https://api.goswift.ly/real-time/art-asheville/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
70,mdb-1853,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1853', 'source': 'mdb'}]",Washington Metropolitan Area Transit Authority (WMATA),,rail,,[],['vp'],['mdb-1847'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Virginia', 'municipality': 'Fairfax County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Virginia', 'municipality': 'Arlington County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Maryland', 'municipality': ""Prince George's County""}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'District of Columbia', 'municipality': 'Washington'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Virginia', 'municipality': 'Alexandria'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Maryland', 'municipality': 'Montgomery County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Virginia', 'municipality': 'Loudoun County'}]",https://api.wmata.com/gtfs/rail-gtfsrt-vehiclepositions.pb,1,https://developer.wmata.com/signup/,api_key,https://developer.wmata.com/license
